weapon_class,weapon_damage,weapon_cooldownAfterLastBullet,weapon_reloadTime,weapon_ammo,weapon_projectile_speed,weapon_projectile_range,weapon_projectile_spawn_delay_after_shot,CollectionID,StarLevel,IsNFT,level,name
Explosive,1345.0,0.5,2.7,2,11.5,9.3,0.0,Mythical,2,True,2,Hellfire Launcher
Explosive,1352.0,0.5,2.7,2,11.5,9.3,0.0,Mythical,3,True,2,Hellfire Launcher
Explosive,1372.0,0.5,2.7,2,11.5,9.3,0.0,Mythical,4,True,2,Hellfire Launcher
Explosive,1392.0,0.5,2.7,2,13.799999999999999,9.3,0.0,Mythical,5,True,2,Hellfire Launcher
Explosive,1636.4499999999998,0.5,2.7,2,13.799999999999999,9.3,0.0,Mythical,6,True,2,Hellfire Launcher
Automatic,258.0,0.05,0.15,80,22.0,10.0,0.2,Mythical,1,True,2,Titan Shredder
Automatic,262.0,0.05,0.075,80,22.0,10.0,0.2,Mythical,2,True,2,Titan Shredder
Automatic,266.0,0.05,0.075,80,22.0,10.0,0.2,Mythical,3,True,2,Titan Shredder
Automatic,270.0,0.05,0.075,80,22.0,10.0,0.2,Mythical,4,True,2,Titan Shredder
Automatic,274.0,0.05,0.06,80,22.0,10.0,0.2,Mythical,5,True,2,Titan Shredder
Automatic,327.75,0.05,0.06,80,22.0,10.0,0.2,Mythical,6,True,2,Titan Shredder
Spread,1270.0,1.0,3.0,3,3.35,8.0,0.13,Mythical,1,True,2,Helios Cannon
Spread,1280.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,2,True,2,Helios Cannon
Spread,1290.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,3,True,2,Helios Cannon
Spread,1301.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,4,True,2,Helios Cannon
Spread,1327.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,5,True,2,Helios Cannon
Spread,1550.1999999999998,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,6,True,2,Helios Cannon
Precision,1020.0,0.75,2.4,2,12.0,10.0,0.1,Mythical,1,True,2,Wrath Of Artemis
Precision,1030.0,0.75,2.4,2,13.200000000000001,10.0,0.1,Mythical,2,True,2,Wrath Of Artemis
Precision,1040.0,0.75,2.4,2,13.200000000000001,10.0,0.1,Mythical,3,True,2,Wrath Of Artemis
Precision,1050.0,0.75,2.4,2,13.200000000000001,10.0,0.1,Mythical,4,True,2,Wrath Of Artemis
Precision,1065.0,0.75,2.064,2,13.200000000000001,10.0,0.1,Mythical,5,True,2,Wrath Of Artemis
Precision,1242.0,0.75,2.064,2,13.200000000000001,10.0,0.1,Mythical,6,True,2,Wrath Of Artemis
Spread,2240.0,0.65,2.1,3,14.0,9.0,0.1,Default,1,False,3,Boomstick
Spread,2360.0,0.65,2.1,3,14.0,9.0,0.1,Default,2,False,3,Boomstick
Spread,2380.0,0.65,2.1,3,15.400000000000002,9.0,0.1,Default,3,False,3,Boomstick
Spread,2400.0,0.65,2.1,3,15.400000000000002,9.0,0.1,Default,4,False,3,Boomstick
Spread,2430.0,0.65,1.89,3,15.400000000000002,9.0,0.1,Default,5,False,3,Boomstick
Spread,2460.0,0.65,1.89,3,15.400000000000002,9.75,0.1,Default,6,False,3,Boomstick
Spread,2264.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,1,True,3,Boomstick-X
Spread,2388.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,2,True,3,Boomstick-X
Spread,2406.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,3,True,3,Boomstick-X
Spread,2434.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,4,True,3,Boomstick-X
Spread,2470.0,0.65,1.7429999999999999,3,14.0,9.0,0.1,Arsenal-X,5,True,3,Boomstick-X
Spread,2709.2400000000002,0.65,1.7429999999999999,3,14.0,9.0,0.1,Arsenal-X,6,True,3,Boomstick-X
Automatic,1740.0,0.2,2.75,3,14.0,10.0,0.0,Default,1,False,3,Blaster
Automatic,1840.0,0.2,2.75,3,14.0,10.0,0.0,Default,2,False,3,Blaster
Automatic,1860.0,0.2,2.75,3,15.400000000000002,10.0,0.0,Default,3,False,3,Blaster
Automatic,1880.0,0.2,2.75,3,15.400000000000002,10.0,0.0,Default,4,False,3,Blaster
Automatic,1910.0,0.2,2.4749999999999996,3,15.400000000000002,10.0,0.0,Default,5,False,3,Blaster
Automatic,1940.0,0.2,2.4749999999999996,3,15.400000000000002,11.0,0.0,Default,6,False,3,Blaster
Automatic,1760.0,0.2,2.75,3,14.0,10.0,0.0,Arsenal-X,1,True,3,Blaster-X
Automatic,1780.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,2,True,3,Blaster-X
Automatic,1800.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,3,True,3,Blaster-X
Automatic,1820.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,4,True,3,Blaster-X
Automatic,2160.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,5,True,3,Blaster-X
Automatic,2308.8,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,6,True,3,Blaster-X
Explosive,1230.0,1.0,3.0,3,3.35,8.0,0.13,Default,1,False,3,Mortar Gun
Explosive,1308.0,1.0,3.0,3,3.35,8.0,0.13,Default,2,False,3,Mortar Gun
Explosive,1328.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Default,3,False,3,Mortar Gun
Explosive,1348.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Default,4,False,3,Mortar Gun
Explosive,1368.0,1.0,3.0,3,3.6850000000000005,8.5,0.13,Default,5,False,3,Mortar Gun
Explosive,1457.4,1.0,3.0,3,3.6850000000000005,8.5,0.13,Default,6,False,3,Mortar Gun
Explosive,1240.0,1.0,3.0,3,3.35,8.0,0.13,Arsenal-X,1,True,3,Mortar Gun X
Explosive,1252.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,2,True,3,Mortar Gun X
Explosive,1268.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,3,True,3,Mortar Gun X
Explosive,1300.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,4,True,3,Mortar Gun X
Explosive,1334.0,1.0,3.0,3,3.6850000000000005,9.0,0.13,Arsenal-X,5,True,3,Mortar Gun X
Explosive,1433.76,1.0,3.0,3,3.6850000000000005,9.0,0.13,Arsenal-X,6,True,3,Mortar Gun X
Elemental,1040.0,0.5,2.7,2,10.0,9.0,0.2,Default,1,False,3,Tesla Gun
Elemental,1060.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,2,False,3,Tesla Gun
Elemental,1210.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,3,False,3,Tesla Gun
Elemental,1230.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,4,False,3,Tesla Gun
Elemental,1250.0,0.5,2.0655,2,10.0,9.0,0.2,Default,5,False,3,Tesla Gun
Elemental,1270.0,0.5,2.0655,2,10.0,9.5,0.2,Default,6,False,3,Tesla Gun
Elemental,1060.0,0.5,2.7,2,10.0,9.0,0.2,Arsenal-X,1,True,3,Tesla Gun X
Elemental,1080.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,2,True,3,Tesla Gun X
Elemental,1100.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,3,True,3,Tesla Gun X
Elemental,1120.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,4,True,3,Tesla Gun X
Elemental,1360.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,5,True,3,Tesla Gun X
Elemental,1498.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,6,True,3,Tesla Gun X
Precision,1140.0,0.75,2.0,2,13.2,10.0,0.1,Default,1,False,3,Railgun
Precision,1160.0,0.75,2.0,2,13.2,10.0,0.1,Default,2,False,3,Railgun
Precision,1180.0,0.75,2.0,2,14.52,10.0,0.1,Default,3,False,3,Railgun
Precision,1200.0,0.75,2.0,2,14.52,10.0,0.1,Default,4,False,3,Railgun
Precision,1230.0,0.75,1.7999999999999998,2,14.52,10.0,0.1,Default,5,False,3,Railgun
Precision,1260.0,0.75,1.7999999999999998,2,14.52,10.5,0.1,Default,6,False,3,Railgun
Precision,1150.0,0.75,2.0,2,13.2,10.0,0.1,Arsenal-X,1,True,3,Railgun-X
Precision,1164.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,2,True,3,Railgun-X
Precision,1188.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,3,True,3,Railgun-X
Precision,1216.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,4,True,3,Railgun-X
Precision,1248.0,0.75,2.0,2,15.179999999999998,10.5,0.1,Arsenal-X,5,True,3,Railgun-X
Precision,1296.0,0.75,2.0,2,15.179999999999998,11.0,0.1,Arsenal-X,6,True,3,Railgun-X
Elemental,138.0,0.05,0.1,65,10.0,9.0,0.2,Mythical,1,True,3,Dragonbreath
Elemental,142.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,2,True,3,Dragonbreath
Elemental,146.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,3,True,3,Dragonbreath
Elemental,150.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,4,True,3,Dragonbreath
Elemental,154.0,0.05,0.08000000000000002,65,10.0,9.5,0.2,Mythical,5,True,3,Dragonbreath
Elemental,184.0,0.05,0.08000000000000002,65,10.0,9.5,0.2,Mythical,6,True,3,Dragonbreath
Precision,1450.0,1.0,3.0,2,11.0,8.5,0.13,Mythical,1,True,3,Skybreaker
Precision,1474.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,2,True,3,Skybreaker
Precision,1502.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,3,True,3,Skybreaker
