identifier,collection,name,url,thumbnailUrl,owner,rank,priceCurrency,priceAmount,Background,Body,Earrings,Eyes,Face,Head,Headgear,LegAccessories,Legs,Mouth,Perk 1,Perk 2,Rarity Class,Skin,Species,level,health,shield,talent_points_available,talent_points_total,earn_rate,character_tokens,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CRHEROES-9edff2-0109,CRHEROES-9edff2,Space Shark #265,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Explosive Weapons Proficiency,Perseverance,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,867,0,0,0,0,2,0,0,0,3,2,1,10,1,1,0,0,0,0,0,10,0
CRHEROES-9edff2-010a,CRHEROES-9edff2,Space Shark #266,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1hj7qf425h80d2xk4fjz25y2u7crrmn42w8vdm3t7wxygqdzt9p2sx4a52x,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Overshield,Overachiever,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,2,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-010b,CRHEROES-9edff2,Space Shark #267,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Resilience,Brawler,Gold,Scarred,Space Shark,1,0,0,0,0,0.0,232,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
CRHEROES-9edff2-010c,CRHEROES-9edff2,Space Shark #268,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1evk7alplq8u8793v0el8nr0pjkuphzlk6y7ye9aqkynt8hc0f8yq6342ds,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Black Widow,Resilience,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,308,1,0,0,0,0,1,10,0,0,10,0,3,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-010d,CRHEROES-9edff2,Space Shark #269,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Cold Blooded,Resilience,Gold,Scarred,Space Shark,1,0,0,0,0,0.0,212,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-010e,CRHEROES-9edff2,Space Shark #270,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Resilience,Elemental Weapons Proficiency,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
CRHEROES-9edff2-010f,CRHEROES-9edff2,Space Shark #271,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Scatter Weapons Proficiency,Scavenger,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
CRHEROES-9edff2-0110,CRHEROES-9edff2,Space Shark #272,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Hodler,Cool Moves,Gold,Scarred,Space Shark,1,0,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
CRHEROES-9edff2-0111,CRHEROES-9edff2,Space Shark #273,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Nano Meds,Elemental Weapons Proficiency,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,8,0,0,0,0,0,2,0,1,11,0,0,1,0,0,0,0,0,0,0,0,10
CRHEROES-9edff2-0112,CRHEROES-9edff2,Space Shark #274,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Hodler,Automatic Weapons Proficiency,Gold,Scarred,Space Shark,4,249,131,0,0,0.27,403,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CRHEROES-9edff2-0113,CRHEROES-9edff2,Space Shark #275,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1d7qmlnvwerg4jgm5s5y4u4g66dlpjwyu4guut4y4sy5yk6fm9uzsyh9aa9,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Elemental Weapons Proficiency,Escape Artist,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,500,0,0,0,0,0,1,0,1,2,0,0,0,10,0,0,0,1,0,0,0,10
CRHEROES-9edff2-0114,CRHEROES-9edff2,Space Shark #276,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Adrenaline Rush,Escape Artist,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,161,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0115,CRHEROES-9edff2,Space Shark #277,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd13j80zlnr4juxeq2w05vrvqyvxydrqrvhxe8gqv6c6vw0xemzjjqqkpcnfe,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Resilience,Explosive Weapons Proficiency,Gold,Scarred,Space Shark,9,1064,567,15,15,0.88,3697,1,0,0,0,0,0,0,1,0,10,2,1,0,0,0,0,0,0,0,10,0
CRHEROES-9edff2-0116,CRHEROES-9edff2,Space Shark #278,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Adrenaline Rush,Resilience,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,215,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0117,CRHEROES-9edff2,Space Shark #279,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1vrw993xn0rxx48n9gqxz8u9v0yt7rxwu3n98896h36jwxkf6zgsqnvd4gx,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Overachiever,Nano Meds,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,1264,10,1,0,0,0,0,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0118,CRHEROES-9edff2,Space Shark #280,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1260gwsj687sergfypafeyqr3ke9hf6ttgspxja7566mx44y8wz8sdgzjcn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Nano Meds,Hodler,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,984,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0119,CRHEROES-9edff2,Space Shark #281,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1cny2fr6a82hylp4pqwkmwr834hue396408fltuf8y6gqpgtxtnkqc4zhl8,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Overachiever,Scavenger,Gold,Scarred,Space Shark,10,1273,679,20,20,1.03,1411,12,2,0,0,3,0,1,1,1,1,2,1,0,10,2,4,0,0,0,0,0
CRHEROES-9edff2-011a,CRHEROES-9edff2,Space Shark #282,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1tx6fs4tpazwv8ntw43gk0e4qxqp2fzasely52stsmhhvrxcand8q0np0hr,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Cold Blooded,Grounded,Gold,Scarred,Space Shark,5,378,200,0,0,0.37,183,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-011b,CRHEROES-9edff2,Space Shark #283,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1e24lh5k5jye97u5jq0h6tm3kxkq28es6es37gkcy829hvc3png8s44wd58,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Brawler,Grounded,Gold,Scarred,Space Shark,6,525,279,0,0,0.48,883,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CRHEROES-9edff2-011c,CRHEROES-9edff2,Space Shark #284,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1rc85lfxw20l6esh894hzrs6lrx8sa6c8q7693ljtlkaps7k0hvpqrj0xhq,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Brawler,Stonewall,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,245,0,0,0,10,1,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0
CRHEROES-9edff2-011d,CRHEROES-9edff2,Space Shark #285,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1rc85lfxw20l6esh894hzrs6lrx8sa6c8q7693ljtlkaps7k0hvpqrj0xhq,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Overachiever,Automatic Weapons Proficiency,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,374,10,0,0,0,0,1,0,0,1,1,3,2,1,0,0,0,10,0,0,0,0
CRHEROES-9edff2-011e,CRHEROES-9edff2,Space Shark #286,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Brawler,Precision Weapons Proficiency,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,1108,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,11,0,0,10,0,0
CRHEROES-9edff2-011f,CRHEROES-9edff2,Space Shark #287,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Brawler,Stonewall,Gold,Scarred,Space Shark,5,378,200,0,0,0.37,34,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CRHEROES-9edff2-0120,CRHEROES-9edff2,Space Shark #288,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1am2t6wlec0aryeu7kn0llg3wdfcaxcmuv8wsl93wknw7w8s6espssakdrc,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Grounded,Precision Weapons Proficiency,Gold,Scarred,Space Shark,9,1064,567,15,15,0.88,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CRHEROES-9edff2-0121,CRHEROES-9edff2,Space Shark #289,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Cool Moves,Galvanized,Gold,Scarred,Space Shark,5,378,200,0,0,0.37,1113,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0
CRHEROES-9edff2-0122,CRHEROES-9edff2,Space Shark #290,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1tx6fs4tpazwv8ntw43gk0e4qxqp2fzasely52stsmhhvrxcand8q0np0hr,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Adrenaline Rush,Grounded,Gold,Scarred,Space Shark,5,378,200,0,0,0.37,186,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0123,CRHEROES-9edff2,Space Shark #291,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1atlamyr4204j72t8wmzxxc54durdcdv9x3l7j0mlnn3quf0rwrhspjge0w,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Overshield,Galvanized,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,223,0,0,0,0,0,10,1,10,1,0,0,1,1,0,1,0,0,0,0,0,0
CRHEROES-9edff2-0124,CRHEROES-9edff2,Space Shark #292,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Black Widow,Cool Moves,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,809,0,0,0,0,0,0,10,0,1,1,0,2,0,1,10,0,0,0,0,0,0
CRHEROES-9edff2-0125,CRHEROES-9edff2,Space Shark #293,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1vrw993xn0rxx48n9gqxz8u9v0yt7rxwu3n98896h36jwxkf6zgsqnvd4gx,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Explosive Weapons Proficiency,Stonewall,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,590,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0
CRHEROES-9edff2-0126,CRHEROES-9edff2,Space Shark #294,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1whxprrk7swdt7dpf9elvcaepxnt7wh04wrpqwjex4ng85j78992qj0ju6w,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Overachiever,Stonewall,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,7,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0127,CRHEROES-9edff2,Space Shark #295,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1whxprrk7swdt7dpf9elvcaepxnt7wh04wrpqwjex4ng85j78992qj0ju6w,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Stonewall,Automatic Weapons Proficiency,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
