CharacterType,Level,MissionID,LevelReq
FREE_Character4,5,Mastery_FREE_Character4_5_2,11
FREE_Character4,5,Mastery_FREE_Character4_5_3,12
FREE_Character4,6,Mastery_FREE_Character4_6_1,0
FREE_Character4,6,Mastery_FREE_Character4_6_2,13
FREE_Character4,6,Mastery_FREE_Character4_6_3,14
FREE_Character4,7,Mastery_FREE_Character4_7_1,0
FREE_Character4,7,Mastery_FREE_Character4_7_2,15
FREE_Character4,7,Mastery_FREE_Character4_7_3,16
FREE_Character4,8,Mastery_FREE_Character4_8_1,0
FREE_Character4,8,Mastery_FREE_Character4_8_2,18
FREE_Character4,8,Mastery_FREE_Character4_8_3,18
FREE_Character4,9,Mastery_FREE_Character4_9_1,19
FREE_Character4,9,Mastery_FREE_Character4_9_2,19
FREE_Character4,9,Mastery_FREE_Character4_9_3,19
FREE_Character4,10,Mastery_FREE_Character4_10_1,20
FREE_Character4,10,Mastery_FREE_Character4_10_2,20
FREE_Character4,10,Mastery_FREE_Character4_10_3,20
FREE_Character5,0,Mastery_FREE_Character5_0_1,0
FREE_Character5,1,Mastery_FREE_Character5_1_1,0
FREE_Character5,1,Mastery_FREE_Character5_1_2,0
FREE_Character5,1,Mastery_FREE_Character5_1_3,0
FREE_Character5,2,Mastery_FREE_Character5_2_1,0
FREE_Character5,2,Mastery_FREE_Character5_2_2,0
FREE_Character5,2,Mastery_FREE_Character5_2_3,3
FREE_Character5,3,Mastery_FREE_Character5_3_1,0
FREE_Character5,3,Mastery_FREE_Character5_3_2,4
FREE_Character5,3,Mastery_FREE_Character5_3_3,7
FREE_Character5,4,Mastery_FREE_Character5_4_1,0
FREE_Character5,4,Mastery_FREE_Character5_4_2,8
FREE_Character5,4,Mastery_FREE_Character5_4_3,10
FREE_Character5,5,Mastery_FREE_Character5_5_1,0
FREE_Character5,5,Mastery_FREE_Character5_5_2,11
FREE_Character5,5,Mastery_FREE_Character5_5_3,12
FREE_Character5,6,Mastery_FREE_Character5_6_1,0
FREE_Character5,6,Mastery_FREE_Character5_6_2,13
FREE_Character5,6,Mastery_FREE_Character5_6_3,14
FREE_Character5,7,Mastery_FREE_Character5_7_1,0
FREE_Character5,7,Mastery_FREE_Character5_7_2,15
FREE_Character5,7,Mastery_FREE_Character5_7_3,16
FREE_Character5,8,Mastery_FREE_Character5_8_1,0
FREE_Character5,8,Mastery_FREE_Character5_8_2,18
FREE_Character5,8,Mastery_FREE_Character5_8_3,18
FREE_Character5,9,Mastery_FREE_Character5_9_1,19
FREE_Character5,9,Mastery_FREE_Character5_9_2,19
FREE_Character5,9,Mastery_FREE_Character5_9_3,19
FREE_Character5,10,Mastery_FREE_Character5_10_1,20
FREE_Character5,10,Mastery_FREE_Character5_10_2,20
FREE_Character5,10,Mastery_FREE_Character5_10_3,20
FREE_Character6,0,Mastery_FREE_Character6_0_1,0
FREE_Character6,1,Mastery_FREE_Character6_1_1,0
FREE_Character6,1,Mastery_FREE_Character6_1_2,0
FREE_Character6,1,Mastery_FREE_Character6_1_3,0
FREE_Character6,2,Mastery_FREE_Character6_2_1,0
FREE_Character6,2,Mastery_FREE_Character6_2_2,0
FREE_Character6,2,Mastery_FREE_Character6_2_3,3
FREE_Character6,3,Mastery_FREE_Character6_3_1,0
FREE_Character6,3,Mastery_FREE_Character6_3_2,4
FREE_Character6,3,Mastery_FREE_Character6_3_3,7
FREE_Character6,4,Mastery_FREE_Character6_4_1,0
FREE_Character6,4,Mastery_FREE_Character6_4_2,8
FREE_Character6,4,Mastery_FREE_Character6_4_3,10
FREE_Character6,5,Mastery_FREE_Character6_5_1,0
FREE_Character6,5,Mastery_FREE_Character6_5_2,11
FREE_Character6,5,Mastery_FREE_Character6_5_3,12
FREE_Character6,6,Mastery_FREE_Character6_6_1,0
FREE_Character6,6,Mastery_FREE_Character6_6_2,13
FREE_Character6,6,Mastery_FREE_Character6_6_3,14
FREE_Character6,7,Mastery_FREE_Character6_7_1,0
FREE_Character6,7,Mastery_FREE_Character6_7_2,15
FREE_Character6,7,Mastery_FREE_Character6_7_3,16
FREE_Character6,8,Mastery_FREE_Character6_8_1,0
FREE_Character6,8,Mastery_FREE_Character6_8_2,18
FREE_Character6,8,Mastery_FREE_Character6_8_3,18
FREE_Character6,9,Mastery_FREE_Character6_9_1,19
FREE_Character6,9,Mastery_FREE_Character6_9_2,19
FREE_Character6,9,Mastery_FREE_Character6_9_3,19
FREE_Character6,10,Mastery_FREE_Character6_10_1,20
FREE_Character6,10,Mastery_FREE_Character6_10_2,20
FREE_Character6,10,Mastery_FREE_Character6_10_3,20
NFT_Ape_Bronze,0,Mastery_NFT_Ape_Bronze_0_1,0
NFT_Ape_Bronze,1,Mastery_NFT_Ape_Bronze_1_1,0
NFT_Ape_Bronze,1,Mastery_NFT_Ape_Bronze_1_2,0
NFT_Ape_Bronze,1,Mastery_NFT_Ape_Bronze_1_3,0
NFT_Ape_Bronze,2,Mastery_NFT_Ape_Bronze_2_1,0
NFT_Ape_Bronze,2,Mastery_NFT_Ape_Bronze_2_2,0
NFT_Ape_Bronze,2,Mastery_NFT_Ape_Bronze_2_3,3
NFT_Ape_Bronze,3,Mastery_NFT_Ape_Bronze_3_1,0
NFT_Ape_Bronze,3,Mastery_NFT_Ape_Bronze_3_2,4
NFT_Ape_Bronze,3,Mastery_NFT_Ape_Bronze_3_3,7
NFT_Ape_Bronze,4,Mastery_NFT_Ape_Bronze_4_1,0
NFT_Ape_Bronze,4,Mastery_NFT_Ape_Bronze_4_2,8
NFT_Ape_Bronze,4,Mastery_NFT_Ape_Bronze_4_3,10
NFT_Ape_Bronze,5,Mastery_NFT_Ape_Bronze_5_1,0
NFT_Ape_Bronze,5,Mastery_NFT_Ape_Bronze_5_2,11
NFT_Ape_Bronze,5,Mastery_NFT_Ape_Bronze_5_3,12
NFT_Ape_Bronze,6,Mastery_NFT_Ape_Bronze_6_1,0
NFT_Ape_Bronze,6,Mastery_NFT_Ape_Bronze_6_2,13
NFT_Ape_Bronze,6,Mastery_NFT_Ape_Bronze_6_3,14
NFT_Ape_Bronze,7,Mastery_NFT_Ape_Bronze_7_1,0
NFT_Ape_Bronze,7,Mastery_NFT_Ape_Bronze_7_2,15
NFT_Ape_Bronze,7,Mastery_NFT_Ape_Bronze_7_3,16
NFT_Ape_Bronze,8,Mastery_NFT_Ape_Bronze_8_1,0
NFT_Ape_Bronze,8,Mastery_NFT_Ape_Bronze_8_2,18
NFT_Ape_Bronze,8,Mastery_NFT_Ape_Bronze_8_3,18
NFT_Ape_Bronze,9,Mastery_NFT_Ape_Bronze_9_1,19
NFT_Ape_Bronze,9,Mastery_NFT_Ape_Bronze_9_2,19
NFT_Ape_Bronze,9,Mastery_NFT_Ape_Bronze_9_3,19
NFT_Ape_Bronze,10,Mastery_NFT_Ape_Bronze_10_1,20
NFT_Ape_Bronze,10,Mastery_NFT_Ape_Bronze_10_2,20
NFT_Ape_Bronze,10,Mastery_NFT_Ape_Bronze_10_3,20
NFT_Ape_Silver,0,Mastery_NFT_Ape_Bronze_0_1,0
NFT_Ape_Silver,1,Mastery_NFT_Ape_Bronze_1_1,0
NFT_Ape_Silver,1,Mastery_NFT_Ape_Bronze_1_2,0
NFT_Ape_Silver,1,Mastery_NFT_Ape_Bronze_1_3,0
NFT_Ape_Silver,2,Mastery_NFT_Ape_Bronze_2_1,0
NFT_Ape_Silver,2,Mastery_NFT_Ape_Bronze_2_2,0
NFT_Ape_Silver,2,Mastery_NFT_Ape_Bronze_2_3,3
NFT_Ape_Silver,3,Mastery_NFT_Ape_Bronze_3_1,0
NFT_Ape_Silver,3,Mastery_NFT_Ape_Bronze_3_2,4
NFT_Ape_Silver,3,Mastery_NFT_Ape_Bronze_3_3,7
NFT_Ape_Silver,4,Mastery_NFT_Ape_Bronze_4_1,0
NFT_Ape_Silver,4,Mastery_NFT_Ape_Bronze_4_2,8
NFT_Ape_Silver,4,Mastery_NFT_Ape_Bronze_4_3,10
NFT_Ape_Silver,5,Mastery_NFT_Ape_Bronze_5_1,0
NFT_Ape_Silver,5,Mastery_NFT_Ape_Bronze_5_2,11
NFT_Ape_Silver,5,Mastery_NFT_Ape_Bronze_5_3,12
NFT_Ape_Silver,6,Mastery_NFT_Ape_Bronze_6_1,0
NFT_Ape_Silver,6,Mastery_NFT_Ape_Bronze_6_2,13
NFT_Ape_Silver,6,Mastery_NFT_Ape_Bronze_6_3,14
NFT_Ape_Silver,7,Mastery_NFT_Ape_Bronze_7_1,0
NFT_Ape_Silver,7,Mastery_NFT_Ape_Bronze_7_2,15
NFT_Ape_Silver,7,Mastery_NFT_Ape_Bronze_7_3,16
NFT_Ape_Silver,8,Mastery_NFT_Ape_Bronze_8_1,0
NFT_Ape_Silver,8,Mastery_NFT_Ape_Bronze_8_2,18
NFT_Ape_Silver,8,Mastery_NFT_Ape_Bronze_8_3,18
NFT_Ape_Silver,9,Mastery_NFT_Ape_Bronze_9_1,19
NFT_Ape_Silver,9,Mastery_NFT_Ape_Bronze_9_2,19
NFT_Ape_Silver,9,Mastery_NFT_Ape_Bronze_9_3,19
NFT_Ape_Silver,10,Mastery_NFT_Ape_Bronze_10_1,20
NFT_Ape_Silver,10,Mastery_NFT_Ape_Bronze_10_2,20
NFT_Ape_Silver,10,Mastery_NFT_Ape_Bronze_10_3,20
NFT_Ape_Gold,0,Mastery_NFT_Ape_Bronze_0_1,0
NFT_Ape_Gold,1,Mastery_NFT_Ape_Bronze_1_1,0
NFT_Ape_Gold,1,Mastery_NFT_Ape_Bronze_1_2,0
NFT_Ape_Gold,1,Mastery_NFT_Ape_Bronze_1_3,0
NFT_Ape_Gold,2,Mastery_NFT_Ape_Bronze_2_1,0
NFT_Ape_Gold,2,Mastery_NFT_Ape_Bronze_2_2,0
NFT_Ape_Gold,2,Mastery_NFT_Ape_Bronze_2_3,3
NFT_Ape_Gold,3,Mastery_NFT_Ape_Bronze_3_1,0
NFT_Ape_Gold,3,Mastery_NFT_Ape_Bronze_3_2,4
NFT_Ape_Gold,3,Mastery_NFT_Ape_Bronze_3_3,7
NFT_Ape_Gold,4,Mastery_NFT_Ape_Bronze_4_1,0
NFT_Ape_Gold,4,Mastery_NFT_Ape_Bronze_4_2,8
NFT_Ape_Gold,4,Mastery_NFT_Ape_Bronze_4_3,10
NFT_Ape_Gold,5,Mastery_NFT_Ape_Bronze_5_1,0
NFT_Ape_Gold,5,Mastery_NFT_Ape_Bronze_5_2,11
NFT_Ape_Gold,5,Mastery_NFT_Ape_Bronze_5_3,12
NFT_Ape_Gold,6,Mastery_NFT_Ape_Bronze_6_1,0
NFT_Ape_Gold,6,Mastery_NFT_Ape_Bronze_6_2,13
NFT_Ape_Gold,6,Mastery_NFT_Ape_Bronze_6_3,14
NFT_Ape_Gold,7,Mastery_NFT_Ape_Bronze_7_1,0
NFT_Ape_Gold,7,Mastery_NFT_Ape_Bronze_7_2,15
NFT_Ape_Gold,7,Mastery_NFT_Ape_Bronze_7_3,16
NFT_Ape_Gold,8,Mastery_NFT_Ape_Bronze_8_1,0
NFT_Ape_Gold,8,Mastery_NFT_Ape_Bronze_8_2,18
NFT_Ape_Gold,8,Mastery_NFT_Ape_Bronze_8_3,18
NFT_Ape_Gold,9,Mastery_NFT_Ape_Bronze_9_1,19
NFT_Ape_Gold,9,Mastery_NFT_Ape_Bronze_9_2,19
NFT_Ape_Gold,9,Mastery_NFT_Ape_Bronze_9_3,19
NFT_Ape_Gold,10,Mastery_NFT_Ape_Bronze_10_1,20
NFT_Ape_Gold,10,Mastery_NFT_Ape_Bronze_10_2,20
NFT_Ape_Gold,10,Mastery_NFT_Ape_Bronze_10_3,20
NFT_Ape_Epic,0,Mastery_NFT_Ape_Bronze_0_1,0
NFT_Ape_Epic,1,Mastery_NFT_Ape_Bronze_1_1,0
NFT_Ape_Epic,1,Mastery_NFT_Ape_Bronze_1_2,0
NFT_Ape_Epic,1,Mastery_NFT_Ape_Bronze_1_3,0
NFT_Ape_Epic,2,Mastery_NFT_Ape_Bronze_2_1,0
NFT_Ape_Epic,2,Mastery_NFT_Ape_Bronze_2_2,0
NFT_Ape_Epic,2,Mastery_NFT_Ape_Bronze_2_3,3
NFT_Ape_Epic,3,Mastery_NFT_Ape_Bronze_3_1,0
NFT_Ape_Epic,3,Mastery_NFT_Ape_Bronze_3_2,4
NFT_Ape_Epic,3,Mastery_NFT_Ape_Bronze_3_3,7
NFT_Ape_Epic,4,Mastery_NFT_Ape_Bronze_4_1,0
NFT_Ape_Epic,4,Mastery_NFT_Ape_Bronze_4_2,8
NFT_Ape_Epic,4,Mastery_NFT_Ape_Bronze_4_3,10
NFT_Ape_Epic,5,Mastery_NFT_Ape_Bronze_5_1,0
NFT_Ape_Epic,5,Mastery_NFT_Ape_Bronze_5_2,11
NFT_Ape_Epic,5,Mastery_NFT_Ape_Bronze_5_3,12
NFT_Ape_Epic,6,Mastery_NFT_Ape_Bronze_6_1,0
NFT_Ape_Epic,6,Mastery_NFT_Ape_Bronze_6_2,13
NFT_Ape_Epic,6,Mastery_NFT_Ape_Bronze_6_3,14
NFT_Ape_Epic,7,Mastery_NFT_Ape_Bronze_7_1,0
NFT_Ape_Epic,7,Mastery_NFT_Ape_Bronze_7_2,15
NFT_Ape_Epic,7,Mastery_NFT_Ape_Bronze_7_3,16
NFT_Ape_Epic,8,Mastery_NFT_Ape_Bronze_8_1,0
NFT_Ape_Epic,8,Mastery_NFT_Ape_Bronze_8_2,18
NFT_Ape_Epic,8,Mastery_NFT_Ape_Bronze_8_3,18
NFT_Ape_Epic,9,Mastery_NFT_Ape_Bronze_9_1,19
NFT_Ape_Epic,9,Mastery_NFT_Ape_Bronze_9_2,19
NFT_Ape_Epic,9,Mastery_NFT_Ape_Bronze_9_3,19
NFT_Ape_Epic,10,Mastery_NFT_Ape_Bronze_10_1,20
NFT_Ape_Epic,10,Mastery_NFT_Ape_Bronze_10_2,20
NFT_Ape_Epic,10,Mastery_NFT_Ape_Bronze_10_3,20
NFT_Ape_Legendary,0,Mastery_NFT_Ape_Bronze_0_1,0
NFT_Ape_Legendary,1,Mastery_NFT_Ape_Bronze_1_1,0
NFT_Ape_Legendary,1,Mastery_NFT_Ape_Bronze_1_2,0
NFT_Ape_Legendary,1,Mastery_NFT_Ape_Bronze_1_3,0
NFT_Ape_Legendary,2,Mastery_NFT_Ape_Bronze_2_1,0
NFT_Ape_Legendary,2,Mastery_NFT_Ape_Bronze_2_2,0
NFT_Ape_Legendary,2,Mastery_NFT_Ape_Bronze_2_3,3
NFT_Ape_Legendary,3,Mastery_NFT_Ape_Bronze_3_1,0
NFT_Ape_Legendary,3,Mastery_NFT_Ape_Bronze_3_2,4
NFT_Ape_Legendary,3,Mastery_NFT_Ape_Bronze_3_3,7
NFT_Ape_Legendary,4,Mastery_NFT_Ape_Bronze_4_1,0
NFT_Ape_Legendary,4,Mastery_NFT_Ape_Bronze_4_2,8
NFT_Ape_Legendary,4,Mastery_NFT_Ape_Bronze_4_3,10
NFT_Ape_Legendary,5,Mastery_NFT_Ape_Bronze_5_1,0
NFT_Ape_Legendary,5,Mastery_NFT_Ape_Bronze_5_2,11
NFT_Ape_Legendary,5,Mastery_NFT_Ape_Bronze_5_3,12
NFT_Ape_Legendary,6,Mastery_NFT_Ape_Bronze_6_1,0
NFT_Ape_Legendary,6,Mastery_NFT_Ape_Bronze_6_2,13
NFT_Ape_Legendary,6,Mastery_NFT_Ape_Bronze_6_3,14
NFT_Ape_Legendary,7,Mastery_NFT_Ape_Bronze_7_1,0
NFT_Ape_Legendary,7,Mastery_NFT_Ape_Bronze_7_2,15
NFT_Ape_Legendary,7,Mastery_NFT_Ape_Bronze_7_3,16
NFT_Ape_Legendary,8,Mastery_NFT_Ape_Bronze_8_1,0
NFT_Ape_Legendary,8,Mastery_NFT_Ape_Bronze_8_2,18
NFT_Ape_Legendary,8,Mastery_NFT_Ape_Bronze_8_3,18
NFT_Ape_Legendary,9,Mastery_NFT_Ape_Bronze_9_1,19
NFT_Ape_Legendary,9,Mastery_NFT_Ape_Bronze_9_2,19
NFT_Ape_Legendary,9,Mastery_NFT_Ape_Bronze_9_3,19
NFT_Ape_Legendary,10,Mastery_NFT_Ape_Bronze_10_1,20
NFT_Ape_Legendary,10,Mastery_NFT_Ape_Bronze_10_2,20
NFT_Ape_Legendary,10,Mastery_NFT_Ape_Bronze_10_3,20
