PoolID,Index,Type,RewardID
recurring_3,5,Free,daily_login_recurring_3_Free_5
recurring_3,6,Free,daily_login_recurring_3_Free_6
recurring_3,7,Free,daily_login_recurring_3_Free_7
recurring_3,1,Paid,daily_login_recurring_3_Paid_1
recurring_3,2,Paid,daily_login_recurring_3_Paid_2
recurring_3,3,Paid,daily_login_recurring_3_Paid_3
recurring_3,4,Paid,daily_login_recurring_3_Paid_4
recurring_3,5,Paid,daily_login_recurring_3_Paid_5
recurring_3,6,Paid,daily_login_recurring_3_Paid_6
recurring_3,7,Paid,daily_login_recurring_3_Paid_7
recurring_4,1,Free,daily_login_recurring_4_Free_1
recurring_4,2,Free,daily_login_recurring_4_Free_2
recurring_4,3,Free,daily_login_recurring_4_Free_3
recurring_4,4,Free,daily_login_recurring_4_Free_4
recurring_4,5,Free,daily_login_recurring_4_Free_5
recurring_4,6,Free,daily_login_recurring_4_Free_6
recurring_4,7,Free,daily_login_recurring_4_Free_7
recurring_4,1,Paid,daily_login_recurring_4_Paid_1
recurring_4,2,Paid,daily_login_recurring_4_Paid_2
recurring_4,3,Paid,daily_login_recurring_4_Paid_3
recurring_4,4,Paid,daily_login_recurring_4_Paid_4
recurring_4,5,Paid,daily_login_recurring_4_Paid_5
recurring_4,6,Paid,daily_login_recurring_4_Paid_6
recurring_4,7,Paid,daily_login_recurring_4_Paid_7
halloween_2023,1,Free,daily_login_halloween_2023_Free_1
halloween_2023,2,Free,daily_login_halloween_2023_Free_2
halloween_2023,3,Free,daily_login_halloween_2023_Free_3
halloween_2023,4,Free,daily_login_halloween_2023_Free_4
halloween_2023,5,Free,daily_login_halloween_2023_Free_5
halloween_2023,6,Free,daily_login_halloween_2023_Free_6
halloween_2023,7,Free,daily_login_halloween_2023_Free_7
halloween_2023,1,Paid,daily_login_halloween_2023_Paid_1
halloween_2023,2,Paid,daily_login_halloween_2023_Paid_2
halloween_2023,3,Paid,daily_login_halloween_2023_Paid_3
halloween_2023,4,Paid,daily_login_halloween_2023_Paid_4
halloween_2023,5,Paid,daily_login_halloween_2023_Paid_5
halloween_2023,6,Paid,daily_login_halloween_2023_Paid_6
halloween_2023,7,Paid,daily_login_halloween_2023_Paid_7
dailylogin_dragonNewYear,1,Free,daily_login_dailylogin_dragonNewYear_Free_1
dailylogin_dragonNewYear,2,Free,daily_login_dailylogin_dragonNewYear_Free_2
dailylogin_dragonNewYear,3,Free,daily_login_dailylogin_dragonNewYear_Free_3
dailylogin_dragonNewYear,4,Free,daily_login_dailylogin_dragonNewYear_Free_4
dailylogin_dragonNewYear,5,Free,daily_login_dailylogin_dragonNewYear_Free_5
dailylogin_dragonNewYear,6,Free,daily_login_dailylogin_dragonNewYear_Free_6
dailylogin_dragonNewYear,7,Free,daily_login_dailylogin_dragonNewYear_Free_7
dailylogin_dragonNewYear,1,Paid,daily_login_dailylogin_dragonNewYear_Paid_1
dailylogin_dragonNewYear,2,Paid,daily_login_dailylogin_dragonNewYear_Paid_2
dailylogin_dragonNewYear,3,Paid,daily_login_dailylogin_dragonNewYear_Paid_3
dailylogin_dragonNewYear,4,Paid,daily_login_dailylogin_dragonNewYear_Paid_4
dailylogin_dragonNewYear,5,Paid,daily_login_dailylogin_dragonNewYear_Paid_5
dailylogin_dragonNewYear,6,Paid,daily_login_dailylogin_dragonNewYear_Paid_6
dailylogin_dragonNewYear,7,Paid,daily_login_dailylogin_dragonNewYear_Paid_7
dailylogin_ragnarok,1,Free,daily_login_dailylogin_ragnarok_Free_1
dailylogin_ragnarok,2,Free,daily_login_dailylogin_ragnarok_Free_2
dailylogin_ragnarok,3,Free,daily_login_dailylogin_ragnarok_Free_3
dailylogin_ragnarok,4,Free,daily_login_dailylogin_ragnarok_Free_4
dailylogin_ragnarok,5,Free,daily_login_dailylogin_ragnarok_Free_5
dailylogin_ragnarok,6,Free,daily_login_dailylogin_ragnarok_Free_6
dailylogin_ragnarok,7,Free,daily_login_dailylogin_ragnarok_Free_7
dailylogin_ragnarok,1,Paid,daily_login_dailylogin_ragnarok_Paid_1
dailylogin_ragnarok,2,Paid,daily_login_dailylogin_ragnarok_Paid_2
dailylogin_ragnarok,3,Paid,daily_login_dailylogin_ragnarok_Paid_3
dailylogin_ragnarok,4,Paid,daily_login_dailylogin_ragnarok_Paid_4
dailylogin_ragnarok,5,Paid,daily_login_dailylogin_ragnarok_Paid_5
dailylogin_ragnarok,6,Paid,daily_login_dailylogin_ragnarok_Paid_6
dailylogin_ragnarok,7,Paid,daily_login_dailylogin_ragnarok_Paid_7
dailylogin_hellfire,1,Free,daily_login_dailylogin_hellfire_Free_1
dailylogin_hellfire,2,Free,daily_login_dailylogin_hellfire_Free_2
dailylogin_hellfire,3,Free,daily_login_dailylogin_hellfire_Free_3
dailylogin_hellfire,4,Free,daily_login_dailylogin_hellfire_Free_4
dailylogin_hellfire,5,Free,daily_login_dailylogin_hellfire_Free_5
dailylogin_hellfire,6,Free,daily_login_dailylogin_hellfire_Free_6
dailylogin_hellfire,7,Free,daily_login_dailylogin_hellfire_Free_7
dailylogin_hellfire,1,Paid,daily_login_dailylogin_hellfire_Paid_1
dailylogin_hellfire,2,Paid,daily_login_dailylogin_hellfire_Paid_2
dailylogin_hellfire,3,Paid,daily_login_dailylogin_hellfire_Paid_3
dailylogin_hellfire,4,Paid,daily_login_dailylogin_hellfire_Paid_4
dailylogin_hellfire,5,Paid,daily_login_dailylogin_hellfire_Paid_5
dailylogin_hellfire,6,Paid,daily_login_dailylogin_hellfire_Paid_6
dailylogin_hellfire,7,Paid,daily_login_dailylogin_hellfire_Paid_7
dailylogin_galactic,1,Free,daily_login_dailylogin_galactic_Free_1
dailylogin_galactic,2,Free,daily_login_dailylogin_galactic_Free_2
dailylogin_galactic,3,Free,daily_login_dailylogin_galactic_Free_3
dailylogin_galactic,4,Free,daily_login_dailylogin_galactic_Free_4
dailylogin_galactic,5,Free,daily_login_dailylogin_galactic_Free_5
dailylogin_galactic,6,Free,daily_login_dailylogin_galactic_Free_6
dailylogin_galactic,7,Free,daily_login_dailylogin_galactic_Free_7
dailylogin_galactic,1,Paid,daily_login_dailylogin_galactic_Paid_1
dailylogin_galactic,2,Paid,daily_login_dailylogin_galactic_Paid_2
dailylogin_galactic,3,Paid,daily_login_dailylogin_galactic_Paid_3
dailylogin_galactic,4,Paid,daily_login_dailylogin_galactic_Paid_4
dailylogin_galactic,5,Paid,daily_login_dailylogin_galactic_Paid_5
dailylogin_galactic,6,Paid,daily_login_dailylogin_galactic_Paid_6
dailylogin_galactic,7,Paid,daily_login_dailylogin_galactic_Paid_7
