identifier,collection,name,url,thumbnailUrl,owner,rank,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2,priceCurrency,priceAmount,level,character_tokens,health,shield,talent_points_available,talent_points_total,earn_rate,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CEA-2d29f9-0109,CEA-2d29f9,Genesis Cantina Elrond Ape #1380,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1380.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-991fe46d,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,915,Genesis Cantina Elrond Ape,Silver,Default,Grey Open,Augmented,None,Pacifier,None,Skull,T Shirt Green,Company Pants Green,Company Bags Green,Artic,Cool Moves,Cold Blooded,EGLD,4.0,1,0,2700,1400,0,0,1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0
CEA-2d29f9-010a,CEA-2d29f9,Genesis Cantina Elrond Ape #1362,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1362.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8607d426,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,503,Genesis Cantina Elrond Ape,Silver,Default,Platinum Open,Platinum,Steampunk,Candy Cane,None,Alien Headband,T Shirt Brown,Company Pants Orange,Dagger Holster Green,Artic,Explosive Weapons Proficiency,Hodler,,,10,6989,3928,2035,20,20,2.03,0,10,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,10,0
CEA-2d29f9-010b,CEA-2d29f9,Genesis Cantina Elrond Ape #1157,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1157.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-fc52c7e1,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1348,Genesis Cantina Elrond Ape,Silver,Default,Blue Closed,Blue,None,None,None,Dandy,T Shirt Orange,Pilot Pants Brown,Tech Belt Green,Artic,Galvanized,Scavenger,,,4,160,2940,1523,0,0,1.27,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
CEA-2d29f9-010c,CEA-2d29f9,Genesis Cantina Elrond Ape #638,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/638.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3a409522,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,403,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,Monolaser,Wheat,None,Tennis Headband,Company Armor Mk.2 Orange,Titan Pants Blue,Quad Grenades 1 Green,Golden,Cool Moves,Scavenger,,,20,0,6847,3662,70,70,4.47,3,5,0,0,1,3,2,1,1,4,4,6,3,15,13,7,0,0,0,0,0
CEA-2d29f9-010d,CEA-2d29f9,Genesis Cantina Elrond Ape #663,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/663.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1a55bcd1,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,602,Genesis Cantina Elrond Ape,Gold,Default,Platinum Closed,Platinum,3D Glasses,None,None,Bowler,Company Armor Mk.2 Black,Tactical Pants Brown,Tech Belt Black,Golden,Precision Weapons Proficiency,Perseverance,,,2,19,2856,1528,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0
CEA-2d29f9-010e,CEA-2d29f9,Genesis Cantina Elrond Ape #1279,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1279.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-9f96f8bf,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,912,Genesis Cantina Elrond Ape,Silver,Default,Platinum Open,Platinum,Cyborg,Cigar,None,None,Company Armor Mk.2 Black,Company Pants Yellow,Dual Grenades 1 Orange,Artic,Nano Meds,Explosive Weapons Proficiency,,,3,208,2836,1469,0,0,1.17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0
CEA-2d29f9-010f,CEA-2d29f9,Genesis Cantina Elrond Ape #2127,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2127.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4a99296f,erd1rc85lfxw20l6esh894hzrs6lrx8sa6c8q7693ljtlkaps7k0hvpqrj0xhq,1041,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,Steampunk,Pipe,Tribal,None,Leather Vest Black,Pilot Pants White,Titan Bags Brown,Desert,Automatic Weapons Proficiency,Black Widow,,,7,1894,3240,1681,5,5,1.6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CEA-2d29f9-0110,CEA-2d29f9,Genesis Cantina Elrond Ape #198,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/198.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f3c90dbe,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,297,Genesis Cantina Elrond Ape,Epic,Default,Gold Closed,Gold,Monolaser,None,Tribal,Tennis Headband,Titan Armor Neon,Mercenary Pants Blue,Quad Grenades 2 Green,Outworld,Brawler,Hodler,,,9,4352,4001,2203,15,15,1.88,0,10,0,1,0,0,1,0,0,0,0,0,2,0,0,10,1,0,1,0,0
CEA-2d29f9-0111,CEA-2d29f9,Genesis Cantina Elrond Ape #1335,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1335.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2ae6eaa2,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,894,Genesis Cantina Elrond Ape,Silver,Default,Grey Open,Augmented,Cybermeta Tokyo,Exotic Flower,None,None,Bandolier,Rogue Pants Orange,Dual Grenades 2 Green,Artic,Escape Artist,Cold Blooded,,,5,170,3064,1587,0,0,1.37,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0
CEA-2d29f9-0112,CEA-2d29f9,Genesis Cantina Elrond Ape #1352,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1352.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3c226663,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,526,Genesis Cantina Elrond Ape,Silver,Default,Zombie Closed,Zombie,Funny Nose,None,Punk,Red Dad Hat,Hoodie Black,Company Pants Yellow,Tactical Bags Blue,Artic,Overshield,Escape Artist,,,7,2009,3364,1743,5,5,1.6,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,1,1,1
CEA-2d29f9-0113,CEA-2d29f9,Genesis Cantina Elrond Ape #1732,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1732.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-9a02ad03,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1662,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,None,Octopus Tentacle,None,None,Hoodie Green,Tactical Pants Black,Radio,Desert,Precision Weapons Proficiency,Nano Meds,,,3,64,2731,1417,0,0,1.17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0
CEA-2d29f9-0114,CEA-2d29f9,Genesis Cantina Elrond Ape #701,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/701.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d4aa3612,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,1214,Genesis Cantina Elrond Ape,Gold,Default,Camo Closed,Camo,None,None,None,Red Beanie,Company Armor Mk.2 Orange,Pilot Pants Brown,Company Bags Green,Golden,Hodler,Explosive Weapons Proficiency,EGLD,1.63,3,6,2941,1573,0,0,1.17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
CEA-2d29f9-0115,CEA-2d29f9,Genesis Cantina Elrond Ape #133,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/133.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4e33e1be,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,305,Genesis Cantina Elrond Ape,Epic,Default,Gold Open,Gold,None,Cigar,Punk,Wizzard,Mercenary Armor Mk.2 Blue,Titan Pants Red,Waistband Red,Outworld,Scavenger,Stonewall,EGLD,10.7,2,9,2958,1629,0,0,1.08,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
CEA-2d29f9-0116,CEA-2d29f9,Genesis Cantina Elrond Ape #682,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/682.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4af49f15,erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,410,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,Monolaser,Bubble Gum,None,Green Dad Hat,Titan Armor Blue,Tactical Pants Red,Pilot Bags Red,Golden,Black Widow,Nano Meds,,,12,3608,4532,2424,30,30,2.38,0,1,1,1,3,0,15,0,10,0,1,0,1,1,4,0,2,3,1,3,1
CEA-2d29f9-0117,CEA-2d29f9,Genesis Cantina Elrond Ape #980,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/980.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-71abae82,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1086,Genesis Cantina Elrond Ape,Silver,Augmented,Blue Closed,Blue,None,None,None,Viking,Mercenary Armor Green,Pilot Pants Green,Dagger Holster Brown,Artic,Black Widow,Scatter Weapons Proficiency,,,4,30,2940,1523,0,0,1.27,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0
CEA-2d29f9-0118,CEA-2d29f9,Genesis Cantina Elrond Ape #1763,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1763.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d6725f76,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1955,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,None,Cigar,None,None,T Shirt Orange,Tactical Pants Blue,None,Desert,Explosive Weapons Proficiency,Elemental Weapons Proficiency,,,4,34,2832,1469,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
CEA-2d29f9-0119,CEA-2d29f9,Genesis Cantina Elrond Ape #1242,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1242.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-892372a5,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1779,Genesis Cantina Elrond Ape,Silver,Default,Platinum Closed,Platinum,None,None,None,None,Tank Shirt Blue,Pilot Pants White,Dual Grenades 2 Black,Artic,Black Widow,Explosive Weapons Proficiency,,,4,37,2940,1523,0,0,1.27,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0
CEA-2d29f9-011a,CEA-2d29f9,Genesis Cantina Elrond Ape #2047,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2047.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-44485c8a,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1561,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Steampunk,None,None,None,Hoodie Black,Tactical Pants Red,Tactical Bags Blue,Desert,Stonewall,Automatic Weapons Proficiency,,,3,70,2731,1417,0,0,1.17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CEA-2d29f9-011b,CEA-2d29f9,Genesis Cantina Elrond Ape #292,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/292.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2a1d5706,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,188,Genesis Cantina Elrond Ape,Epic,Augmented,Grey Open,Augmented,None,Pacifier,Punk,Paint,Titan Armor Green,Company Pants Yellow,Waistband Green,Outworld,Automatic Weapons Proficiency,Perseverance,,,6,183,3443,1896,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
CEA-2d29f9-011c,CEA-2d29f9,Genesis Cantina Elrond Ape #609,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/609.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1c5b0506,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,505,Genesis Cantina Elrond Ape,Gold,Default,Gold Open,Gold,Steampunk,Bone,None,Red Beanie,Mercenary Armor Mk.2 Green,Tactical Pants Black,Dual Grenades 2 Orange,Golden,Perseverance,Adrenaline Rush,,,3,17,2941,1573,0,0,1.17,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CEA-2d29f9-011d,CEA-2d29f9,Genesis Cantina Elrond Ape #128,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/128.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e0a450c0,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,192,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,Funny Nose,Party Blower,Punk,Party,Mercenary Armor Mk.2 Red,Mercenary Pants Red,Dual Grenades 2 Black,Outworld,Scatter Weapons Proficiency,Cool Moves,,,11,118,4449,2449,25,25,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
CEA-2d29f9-011e,CEA-2d29f9,Genesis Cantina Elrond Ape #352,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/352.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d6ecc0e0,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,831,Genesis Cantina Elrond Ape,Epic,Default,Grey Closed,Augmented,Zorro Mask,None,None,None,Pilot Armor Blue,Titan Pants Red,Pilot Bags Orange,Outworld,Nano Meds,Hodler,,,4,34,3158,1739,0,0,1.27,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-011f,CEA-2d29f9,Genesis Cantina Elrond Ape #170,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/170.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-00b71a33,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,131,Genesis Cantina Elrond Ape,Epic,Augmented,Platinum Open,Platinum,Funny Nose,Exotic Flower,Punk,Tennis Headband,Pilot Armor Orange,Pilot Pants Blue,Tech Belt Black,Outworld,Stonewall,Overachiever,,,4,1399,3158,1739,0,0,1.27,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-0120,CEA-2d29f9,Genesis Cantina Elrond Ape #643,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/643.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-eb7f6f4f,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,173,Genesis Cantina Elrond Ape,Gold,Augmented,Grey Open,Augmented,Cybermeta Tokyo,Exotic Flower,None,Sugegasa,Large Vest Red,Company Pants Red,Quad Grenades 1 Blue,Golden,Resilience,Galvanized,,,8,4111,3669,1963,10,10,1.74,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-0121,CEA-2d29f9,Genesis Cantina Elrond Ape #2161,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2161.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4eecd816,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,1582,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,Tribal,None,T Shirt Brown,Tactical Pants Blue,Tactical Bags Yellow,Desert,Automatic Weapons Proficiency,Overshield,EGLD,1.8,2,17,2652,1376,0,0,1.08,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CEA-2d29f9-0122,CEA-2d29f9,Genesis Cantina Elrond Ape #2048,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2048.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1494669d,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1540,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Candy Cane,None,None,T Shirt Red,Tactical Pants Brown,Tactical Bags Blue,Desert,Hodler,Overachiever,,,3,6,2731,1417,0,0,1.17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
